city_id,PSR,CNRI
apia,0.043253210574014524,0.9573324908932251
moscow,0.6516351644667424,0.9377374214772839
kyiv,0.5561592167721969,0.897225488358555
doha,0.1742813744080527,0.8176486153668493
mexico_city,0.14438327845466686,0.6844301514300896
santiago,0.25551745139825494,0.6451719772717838
buenos_aires,0.1651473285290505,0.6222580083405377
municipio_de_sao_paulo,0.13720690431910448,0.5863029281773191
reykjavik,0.04494645803977804,0.5743222942946975
houston,0.16569742588628036,0.5407293080506282
singapore,0.3692008652506233,0.5188289449680167
berlin,0.39606819230586593,0.5080146896068831
warsaw,0.31152313027508793,0.4942499579607784
guadalajara,0.12732606474101937,0.4872077608036058
kuala_lumpur,0.30599697852903307,0.4823357591847369
manila,0.228303905631724,0.46561148923878926
monterrey,0.13498888828245917,0.44522841043428935
tashkent,0.07754551036303944,0.44500144986353235
dubai,0.20555032990461436,0.4407516534014775
miami,0.1474579739922453,0.439810839209995
vienna,0.2409146034492595,0.4385243919586939
los_angeles,0.16721036374280204,0.4022739396917
paris,0.22583144485636122,0.3835340735246174
karachi,0.030542302963118575,0.3660407081307657
provincia_de_lima,0.05109321862398232,0.3465204161619314
melbourne,0.08757866496539285,0.34259317565385056
kampala,0.005297059135965784,0.3421173260674343
belgrade,0.2196389714244407,0.32293752515078883
bangkok,0.07395437923627227,0.31582173076067216
istanbul,0.07093776154871372,0.30589197504279997
mumbai,0.049349186867170027,0.2810405294567877
colombo,0.09897134873130038,0.280235490004121
dhaka,0.00714160968690026,0.2564719150448296
yangon,0.048157829497544526,0.2549865909518201
sofia,0.18201291041557877,0.247346290169037
san_francisco,0.14706231314518733,0.21037719245301403
lagos,0.006590895588038973,0.20837892710441736
bucharest,0.20149940906049255,0.1994090993525616
algiers,0.042459126956684655,0.19550880129474263
calgary,0.10593130676631787,0.193910652828057
vancouver,0.11713543839958676,0.1905375116757677
baghdad,0.007870579267965281,0.1893319488883155
ciudad_de_tunez,0.026524046086704275,0.18626517955200947
medellin,0.09728918460434409,0.17802286434256534
budapest,0.05508386344159207,0.1741713244990586
montevideo,0.044739653181307654,0.15664512302209457
amman,0.040285669146626915,0.14836588078372318
baku,0.037302257639630514,0.14835148848645005
suva,0.09545944819096859,0.14499974607373178
dar_es_salaam,0.003568141246021775,0.14496525241921202
cairo,0.059852223842129224,0.1418723728741981
perth,0.12792022755349905,0.13288344527736803
distrito_de_panama,0.07652433458432957,0.1291573711223003
toronto,0.1809399413930366,0.12643599895763596
accra,0.03264490370829392,0.1131787982051021
madrid,0.19954553349730603,0.11238263870352944
riyadh_governorate,0.04015104229317987,0.10665377065178448
wellington_city,0.06696080658704145,0.10563176906270896
beijing,0.039589071610543446,0.09699754301058308
lusaka,0.010218005789090583,0.09685906412150505
caracas,0.09374718037043074,0.09145826530259217
new_york,0.10520145771604357,0.09128360019779762
chennai,0.008693732359348642,0.09087559409054359
dakar,0.01491933495103883,0.08936685534373366
brussels,0.38925306514428365,0.08774938468820545
hamburg,0.23120314811087783,0.08767410142403821
chicago,0.10626235432683323,0.08294178599405364
casablanca,0.09643267115746514,0.07995653746296146
jakarta,0.10351643615409999,0.07900434723005668
ho_chi_minh_city,0.05312326097947847,0.07718125982634527
prague,0.11914151023531941,0.07292408357741262
nairobi,0.015524944673749484,0.07239692585964841
coimbra,0.09080395434034952,0.07111397048040839
auckland,0.13241408984068923,0.06864527604980304
city_of_cape_town,0.04110895891744295,0.06769661387636254
montreal,0.2072403797966834,0.06628383246473364
zurich,0.2445647145914723,0.06623055694065932
quito,0.06131381578073259,0.06287757766833156
tokyo,0.07736909102599969,0.06054048904273295
national_capital_district,0.020693978587820412,0.052919535959523804
shanghai,0.07381522659991421,0.05222531250646827
beirut,0.041741080047382514,0.05147214866323511
boston,0.08626066509802084,0.04795744068046839
london,0.044988223422482376,0.04138132729978445
delhi,0.020332700035230748,0.040029538246275614
bogota,0.1118902614824966,0.0375830343426057
tehran,0.08729084160041665,0.035344518719930176
fortaleza,0.06459733573676876,0.03451638635762931
rome,0.05302173793357594,0.034290078627166994
alexandria,0.02613655801190293,0.032797457195695316
la_paz,0.01990114207997923,0.029571617516983825
dublin,0.10680893291236426,0.02904963640953798
sydney,0.08337540470365841,0.027748473558587103
oslo,0.04797761845497243,0.023450729093264143
san_jose,0.016306698479956944,0.022431282438525917
brisbane,0.05424858407438437,0.017726158717866966
amsterdam,0.04681513478350871,0.011452067056988655
honiara,0.0016117004945062421,0.0
kigali,0.000150132790965216,0.0
nukualofa,0.0,0.0
